Title_0,Title_1,Title_2,Title_3,Title_4,Title_5,Title_6,Title_7,Title_8,Title_9,Title_10,Title_11,Title_12,Title_13,Title_14,Title_15,Title_16,Title_17,Title_18,Title_19
Senior Product Manager,Founder,Product and Strategy Consultant,Founder,Vice President Product,Client Product Manager,Product Manager,Program Manager,Founder,,,,,,,,,,,
Solutions Engineer,Senior Solutions Architect,Senior Software Engineer,,,,,,,,,,,,,,,,,
Staff Software Engineer,Staff Software Engineer,Software Developer,Software Developer,,,,,,,,,,,,,,,,
Head of Product (Platform),Product,Founder & CEO,Senior Expert Advisor,Advisor,Co-founder & Vice President of Product,Advisor,Board Member  The Board of Regents,Vice President of Product  AIM & Messaging,CEO and Founder,Product Manager & New Business Development Manager,Director of Business Development,Marketing Manager,,,,,,,
Incubation Lead  Success Cloud,Senior Director  Ignite,Director  Ignite,Vice President Product (Interim),Senior Director Agile Portfolio Mgt.,Senior Product Manager  SaaS,Senior Product Manager  Revenue Cycle Analytics,President & Product Management Consultant,Board Member,Director  Project Development,Independent Consultant,Co-Founder & Director of Product Management,Consultant,,,,,,,
Author,Senior Product Manager,Group Product Manager - Platform,Senior Product Manager,Senior Product Manager,Senior Software Engineer,Co-founder  CTO  CEO,Founder,Founder,Co-founder,Co-founder / Software developer,Owner  Web Developer,Web Developer  Product Manager  Software Engineer,,,,,,,
Technical Writer,Consultant / Contractor,Product Management,Product Development,Web Developer,Programmer/Analyst,,,,,,,,,,,,,,
Product,Product Manager,VP  Product,Senior Director  Product,Co-founder & CEO,Senior Director  Product,Director  Product Management,Producer,,,,,,,,,,,,
Technology Architecture and Operations,Chief Architect  Oracle Communications Collab Cloud,Board Member,Customer Business Transformation,Founder and Chief Technology Officer,Director  Technology and Product Strategy,Co-Founder and Chief Executive Officer,Independent Consultant,,,,,,,,,,,,
Software Engineer,Engineer,Engineer,Engineer,Engineer,Engineer,Engineer,,,,,,,,,,,,,
Board Member,Board Member,Board Chair,Co-Founder,Co-Founder and Treasurer / Vice President Central Africa,Advisory Board member,Board Chair,Board Member,Founder and CEO,Board Member,Consultant,Consultant,,,,,,,,
Editorial Strategist,Editor in Chief,Editor in Chief,Editorial Director  Yahoo Tech,Director of Developer Relations,Editor-at-large,Columnist,Editor  Red Herring Online,Editor  CNET.com,Editor-in-Chief,Executive Editor,Editor,Executive editor,,,,,,,
Senior Software Engineer,Vice President Apache Roller,Software Engineer,Lead Back-end Developer,OSLC Specification Lead,Social Software Architect,Book Author  RSS and Atom in Action,,,,,,,,,,,,,
Senior Dir. Product Management - Automation  Decisioning and Orchestration,Senior Dir. Product Management - Einstein Next Best Action & Lightning Flow,Senior Dir. Product Management - Next Best Action,CEO and CPO,CEO and Chief Product Officer,CEO and Head of Product Management,Board of Directors,President and Head of Development,Vice President Product Development,General Manager  Search Business Unit,Director of Product Management  Netscape Navigator,Senior Program Manager  Microsoft Exchange,,,,,,,,
Worldwide Data Science Marketing Leader,Vice President Product-Solution-Developer Marketing,Senior Director  PaaS Marketing,Director  Platform Marketing,Senior Director  Product Marketing,Director  Product Marketing,Vice President Marketing (consulting),Co-founder,Vice President of Marketing and Sales,Director  Product Marketing,Founder,Director of Product Management,Senior Product Manager,Senior Product Manager,Channel Marketing Manager/Product Manager,Product Manager,IT Analyst,,,
Founding Partner / Managing Director,Managing Director  Sacramento / Female Founder Fellow  Silicon Valley,Member,Public Speaker,Founder,Entrepreneurs Showcase Accelerator Company - CINESHARES,Finalist,Instructor,Financial Service Professional,Executive Assistant,Film Independent (Formerly IFP:West),Lead Artist / Volunteer,Project Involve  Fellow,Executive Producer,Member / Fiscal Sponsorship Intern,Intern,Tutor,Assistant Coordinator,,
Technical Leader Engineering,Interim Technology and Business Advisor | Director of Engineering | CTO | Vice President of Engineering,Director of UI/UX Development,Director of Software Development  Customer Operations,Director of Software Development - Web Services,Lead Architect/Director of Fund Analysis/Data Scientist,Director/Partner,Engineering Manager,Lead Software Engineer,,,,,,,,,,,
Chief Information Officer,Director - Hosting and Cloud Engineering,Director,Vice President Security and Infrastructure,Consulting System Architect,President/Consultant,Director of Infrastructure operations and engineering,Senior Network Engineer,Network Engineer,Systems Engineeer,,,,,,,,,,
Network Consulting Engineer,Software Engineer,,,,,,,,,,,,,,,,,,
Senior Software Engineer (Systems Engineering),Staff Operations Engineer,Operations Lead,Operations Manager,,,,,,,,,,,,,,,,
Software Developer  Leader  Agile Adococate and Coach,Life Coach and Agile advocate and software guy,Software Development Engineer & Scrum Master,Software Development Consultant,COMPLETED NOTABLE ENGAGEMENTS:,Vice President Software,COMPLETED NOTABLE ENGAGEMENTS:,COMPLETED NOTABLE ENGAGEMENTS:,ADDITIONAL CLIENT LIST,,,,,,,,,,,
Group Product Manager  Sales & Customer Success Technology,Product Line Manager  World Wide Customer Care Business Platforms,Customer Service and Support  IT Business Analyst Leader,Director  EMEA Corporate Sales  Services and Support,Manager  Global Services Japan / Asia Pacific,Software Product Marketing Manager,Senior Technical Marketing Engineer,Software Technical Marketing,ASIC Design Center Engineer (Military ASIC Division),,,,,,,,,,,
Enterprise Architect,Process Improvement Consultant - Enterprise Portfolio Office,Chief of Staff   Emerging Markets Cisco TAC,Manager  Advance Services,Manager  Technical Support,Network Consulting Engineer - Team Lead,Network Engineer,,,,,,,,,,,,,
Senior DevOps Engineer,Unix System Administrator,IT Specialist,,,,,,,,,,,,,,,,,
Industrial Distributed Ledger Task Group Chair,Senior Director of Innovation & Strategy,PIM Working Group Chair,Deputy Area Director,Director of Engineering,Director  Technology & Strategy,Network Solutions Architect,Technical Leader,Customer Support Representative,,,,,,,,,,,
Head of Customer Success  the Americas,Vice President of Services and Customer Success,Senior Director Customer Transformation  Cloud and Virtualization Group,Director Customer Success Operations | Chief of Staff  Cloud Management Technology Group,Vice President of Services and Customer Operations,New Solutions Program Manager,Content and Portfolio Manager (Consultant),Senior Professional Services Program Manager,Product Team Lead and Program Manager,,,,,,,,,,,
Western Region Sales Director  Critical Infrastrucutre,Business Development Manager Internet of Things Business Unit at Cisco Systems,Strategic Product Sales Specialist Internet of Things,Wireless Product Sales Specialist,Vice President  Sales,Director of Business Development  Major Channels,Senior Account Manager - Customer Premise Equipment,Account Executive,Director  Sales,Systems Engineer,Technical Marketing Manager,Business Development Manager/SE Manager,Senior Systems Engineer,Enterprise Account Program Manager,Western Region Systems Engineer,Technical Marketing Engineer,Systems Engineer,Electronic Test Technician,,
Senior Content Marketing Writer,Enterprise Content Developer,Marketing Copywriter,,,,,,,,,,,,,,,,,
Senior Director of Product Management,Senior Director Product Management,Assoc. Product Line Director,Senior Product Line Manager,Director  Product Marketing,Product Manager,Account Director,Account Group Head,,,,,,,,,,,,
Senior Software Engineer,Senior Software Engineer,Senior Software Engineer,Member Technical Staff,,,,,,,,,,,,,,,,
Director  Product Marketing and Operations,Director  Product Marketing  Hortonworks Data Platform (HDP)  Cloud Solutions,Director  Integrated Product Marketing,Senior Director  Product Marketing,Senior Manager  Sevice Provider and Strategic Partner Marketing,Director of Marketing,Senior Manager  Product Marketing,Director  Product Marketing,,,,,,,,,,,,
Vice President  Platform Product Marketing,Senior Director  Product Marketing - Platform,Senior Director  Product Marketing  Cloud Services,Director  Product Marketing  Cloud Services,Group Manager  Cloud Services,Senior Manager  Product Management,Principal Product Manager,Product Marketing Manager,Investment Associate,Analyst,Senior Associate,Teaching Assistant,,,,,,,,
Senior Manager of Content Marketing,Content Strategy Lead,Senior Manager of Content Marketing + Experiences,Content Strategy Consultant,Freelance Content Strategist,Web Content and Project Management Consultant,Web Content and Project Management Consultant,Manager of KM Technologies,Web Communications Manager,Marketing  Sales and Media Specialist,Marketing Manager,,,,,,,,,
Senior Solutions Architect,Technical Leader,Technical Leader/Solution Test Engineer,Development Test Engineer,,,,,,,,,,,,,,,,
Senior Product Manager  Multi-Access Edge Computing,Senior Solution Manager of Converged Infrastructure,Senior Solution Manager for Virtualized Multi-Tenant Data Centers,Solution Manager for Core and Edge Systems focused on Lossless IP Video,Manager of System Architecture and SW Development focused on Security  VPNs  OSS  VoIP,SW engineer,Lead SW and FW Development Engineer,,,,,,,,,,,,,
Executive Vice President  Marketing Cloud Product Management,Senior Vice President  Sales Cloud Product Management at Salesforce,Vice President Product Management at Salesforce,Senior Director  Product Management at Salesforce,Director  PRM Product Management,Director of Product Marketing,Product Line Manager  Siebel PRM,Senior Sales Consultant,,,,,,,,,,,,
Senior Product Manager,Member Board of Trustees,Product Manager,Senior Vice President Product Management  Analytics,Executive Director,Founder & CEO,CEO in Residence,CEO & CTO,Technical Alliance Manager / System Engineer,Developer / Research & Development Manager,,,,,,,,,,
Product-Solution Manager  Offer Development/NPI - Collaboration Technology Group Offers & Pricing,BSA/PM - Digital Supply Chain  Software Subscription and Licensing,Solution Architect - Renewals,,,,,,,,,,,,,,,,,
Director - IoT & AI Platform Strategy and Business Development,Principal,Co-Founder & General Partner,Vice President Product Planning; GM Corporate e-Commerce;,Vice President - Strategic Business Development & VOIP Convergence,Co-Founder & Principal,Co-Founder,Vice President - Marketing & Business Dev.,Vice President of Corporate Development,Strategy Consultant,,,,,,,,,,
Chief Operating Officer,Board Member,Vice President  Google [X]  Self-Driving Cars,Vice President  Google Offers,Vice President  Global Online Sales,Director  Online Sales and Operations (Consumer Operations  Gmail  YouTube  Google Apps),Senior Strategy Consultant,Deputy Campaign Manager,Special Assistant for Operations,,,,,,,,,,,
Staff Engineer / Engineering Manager,Platform Architect,Chief Technical Officer,Software Development Engineer,,,,,,,,,,,,,,,,
Director of Technology,Principal Product Manager,Product Manager,Product Marketing Manager,,,,,,,,,,,,,,,,
Senior Vice President,Senior Vice President / General Manager,Vice President,Board Member,,,,,,,,,,,,,,,,
Senior Director  DevOps,VP  Engineering and Operations,Director  Cloud Platform Engineering,Senior Manager  Cloud Engineering and Reliability,,,,,,,,,,,,,,,,
Head of Platform and Partnerships  IOT BU,Technology Fellow  Garwood Center of innovation,co-founder and CEO of iotracks,IoT Advisor to: CIO  City of San Francisco  several IoT startups,Senior Director Product Management  Oracle,Entrepreneur CEO and EIR at Outlook Ventures,Flash Business. Macromedia,OmniSky Mobile Services,Vice President and GM Online Commerce,Senior Director  Product Management and Marketing  NetObjects Inc.,Product Line Manager  Interactive Media/Quicktime Group  Apple Computer Inc.,,,,,,,,,
Senior Director of Product Marketing  Medallia Platform,Director of Product & Partner Marketing,Product Marketing Director  Data.com,Director of Product Marketing,Senior Product Marketing Manager,Director of Product Marketing  BRMS,Senior Product Marketing Manager  Documentum Process Suite,Partner Marketing,Product Manager,Product Manager,Logistics Manager,Senior Production Planner,,,,,,,,
Board Director,Board Director,Entrepreneur-in-Residence,Senior Director of Global Consumer Operations,Senior Director  Online Sales & Operations India,Director  Consumer & Enterprise Operations,Director  Sales Finance,Business Development Manager,Senior Analyst,Senior Associate,,,,,,,,,,
Data Protection & Privacy program Manager,Program Manager,Infosec Services Program Manager,Security Assurance Manager,Security Compliance Manager,Security Compliance Analyst,Implementation Project Manager,Product Management Program Manager,Hosted Services Project Coordinator,Hosted Services Network Escalations Manager,level PC Applications/Network Support Analyst,General Accountant,Order Admin,Logistics Coordinator,Re-engineering Analyst CS Rep,,,,,
