,source,target,weight
0,Founder,Product and Strategy Consultant,1
1,Product and Strategy Consultant,Founder,1
2,Founder,Vice President Product,1
3,Vice President Product,Client Product Manager,1
4,Client Product Manager,Product Manager,1
5,Product Manager,Program Manager,2
6,Program Manager,Founder,1
7,Senior Solutions Architect,Senior Software Engineer,1
8,Staff Software Engineer,Software Developer,1
9,Product,Founder & CEO,1
10,Founder & CEO,Senior Expert Advisor,1
11,Senior Expert Advisor,Advisor,1
12,Advisor,Co-founder & Vice President of Product,1
13,Co-founder & Vice President of Product,Advisor,1
14,Advisor,Board Member  The Board of Regents,1
15,Board Member  The Board of Regents,Vice President of Product  AIM & Messaging,1
16,Vice President of Product  AIM & Messaging,CEO and Founder,1
17,CEO and Founder,Product Manager & New Business Development Manager,1
18,Product Manager & New Business Development Manager,Director of Business Development,1
19,Director of Business Development,Marketing Manager,1
20,Senior Director  Ignite,Director  Ignite,1
21,Director  Ignite,Vice President Product (Interim),1
22,Vice President Product (Interim),Senior Director Agile Portfolio Mgt.,1
23,Senior Director Agile Portfolio Mgt.,Senior Product Manager  SaaS,1
24,Senior Product Manager  SaaS,Senior Product Manager  Revenue Cycle Analytics,1
25,Senior Product Manager  Revenue Cycle Analytics,President & Product Management Consultant,1
26,President & Product Management Consultant,Board Member,1
27,Board Member,Director  Project Development,1
28,Director  Project Development,Independent Consultant,1
29,Independent Consultant,Co-Founder & Director of Product Management,1
30,Co-Founder & Director of Product Management,Consultant,1
31,Senior Product Manager,Group Product Manager - Platform,1
32,Group Product Manager - Platform,Senior Product Manager,1
33,Senior Product Manager,Senior Software Engineer,1
34,Senior Software Engineer,Co-founder  CTO  CEO,1
35,Co-founder  CTO  CEO,Founder,1
36,Founder,Co-founder,1
37,Co-founder,Co-founder / Software developer,1
38,Co-founder / Software developer,Owner  Web Developer,1
39,Owner  Web Developer,Web Developer  Product Manager  Software Engineer,1
40,Consultant / Contractor,Product Management,1
41,Product Management,Product Development,1
42,Product Development,Web Developer,1
43,Web Developer,Programmer/Analyst,1
44,Product Manager,VP  Product,1
45,VP  Product,Senior Director  Product,1
46,Senior Director  Product,Co-founder & CEO,1
47,Co-founder & CEO,Senior Director  Product,1
48,Senior Director  Product,Director  Product Management,1
49,Director  Product Management,Producer,1
50,Chief Architect  Oracle Communications Collab Cloud,Board Member,1
51,Board Member,Customer Business Transformation,1
52,Customer Business Transformation,Founder and Chief Technology Officer,1
53,Founder and Chief Technology Officer,Director  Technology and Product Strategy,1
54,Director  Technology and Product Strategy,Co-Founder and Chief Executive Officer,1
55,Co-Founder and Chief Executive Officer,Independent Consultant,1
56,Board Member,Board Chair,1
57,Board Chair,Co-Founder,1
58,Co-Founder,Co-Founder and Treasurer / Vice President Central Africa,1
59,Co-Founder and Treasurer / Vice President Central Africa,Advisory Board member,1
60,Advisory Board member,Board Chair,1
61,Board Chair,Board Member,1
62,Board Member,Founder and CEO,1
63,Founder and CEO,Board Member,1
64,Board Member,Consultant,1
65,Editor in Chief,Editorial Director  Yahoo Tech,1
66,Editorial Director  Yahoo Tech,Director of Developer Relations,1
67,Director of Developer Relations,Editor-at-large,1
68,Editor-at-large,Columnist,1
69,Columnist,Editor  Red Herring Online,1
70,Editor  Red Herring Online,Editor  CNET.com,1
71,Editor  CNET.com,Editor-in-Chief,1
72,Editor-in-Chief,Executive Editor,1
73,Executive Editor,Editor,1
74,Editor,Executive editor,1
75,Vice President Apache Roller,Software Engineer,1
76,Software Engineer,Lead Back-end Developer,1
77,Lead Back-end Developer,OSLC Specification Lead,1
78,OSLC Specification Lead,Social Software Architect,1
79,Social Software Architect,Book Author  RSS and Atom in Action,1
80,Senior Dir. Product Management - Einstein Next Best Action & Lightning Flow,Senior Dir. Product Management - Next Best Action,1
81,Senior Dir. Product Management - Next Best Action,CEO and CPO,1
82,CEO and CPO,CEO and Chief Product Officer,1
83,CEO and Chief Product Officer,CEO and Head of Product Management,1
84,CEO and Head of Product Management,Board of Directors,1
85,Board of Directors,President and Head of Development,1
86,President and Head of Development,Vice President Product Development,1
87,Vice President Product Development,General Manager  Search Business Unit,1
88,General Manager  Search Business Unit,Director of Product Management  Netscape Navigator,1
89,Director of Product Management  Netscape Navigator,Senior Program Manager  Microsoft Exchange,1
90,Vice President Product-Solution-Developer Marketing,Senior Director  PaaS Marketing,1
91,Senior Director  PaaS Marketing,Director  Platform Marketing,1
92,Director  Platform Marketing,Senior Director  Product Marketing,1
93,Senior Director  Product Marketing,Director  Product Marketing,1
94,Director  Product Marketing,Vice President Marketing (consulting),1
95,Vice President Marketing (consulting),Co-founder,1
96,Co-founder,Vice President of Marketing and Sales,1
97,Vice President of Marketing and Sales,Director  Product Marketing,1
98,Director  Product Marketing,Founder,1
99,Founder,Director of Product Management,1
100,Director of Product Management,Senior Product Manager,8
101,Senior Product Manager,Channel Marketing Manager/Product Manager,1
102,Channel Marketing Manager/Product Manager,Product Manager,1
103,Product Manager,IT Analyst,1
104,Managing Director  Sacramento / Female Founder Fellow  Silicon Valley,Member,1
105,Member,Public Speaker,1
106,Public Speaker,Founder,1
107,Founder,Entrepreneurs Showcase Accelerator Company - CINESHARES,1
108,Entrepreneurs Showcase Accelerator Company - CINESHARES,Finalist,1
109,Finalist,Instructor,1
110,Instructor,Financial Service Professional,1
111,Financial Service Professional,Executive Assistant,1
112,Executive Assistant,Film Independent (Formerly IFP:West),1
113,Film Independent (Formerly IFP:West),Lead Artist / Volunteer,1
114,Lead Artist / Volunteer,Project Involve  Fellow,1
115,Project Involve  Fellow,Executive Producer,1
